Year,GeoAreaName,Age,Disability status,Location,Population Group,Quantile,Sex,Value
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,93
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,94
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,BOTHSEX,97
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,94
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,94
2022,Cyprus,ALLAGE,_T,RURAL,TOTAL,,BOTHSEX,99
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,98
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,99
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_B,,BOTHSEX,99
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,98
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_A,,BOTHSEX,98
2022,Cyprus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,98
2022,Cyprus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,98