Year,GeoAreaName,Education level,Sex,Type of skill,Value
2007,Armenia,LOWSEC,FEMALE,SKILL_MATH,63.81102
2007,Armenia,LOWSEC,MALE,SKILL_MATH,62.94791
2011,Armenia,PRIMAR,MALE,SKILL_MATH,40.84838
2011,Armenia,LOWSEC,MALE,SKILL_MATH,46.72195
2011,Armenia,PRIMAR,FEMALE,SKILL_MATH,41.07063
2011,Armenia,LOWSEC,FEMALE,SKILL_MATH,51.41391
2011,Armenia,LOWSEC,BOTHSEX,SKILL_MATH,49.01759
2011,Armenia,PRIMAR,BOTHSEX,SKILL_MATH,40.91933
2015,Armenia,PRIMAR,FEMALE,SKILL_MATH,55.83526
2015,Armenia,LOWSEC,MALE,SKILL_MATH,48.27394
2015,Armenia,PRIMAR,MALE,SKILL_MATH,53.35225
2015,Armenia,PRIMAR,BOTHSEX,SKILL_MATH,54.56382
2018,Republic of Moldova,LOWSEC,BOTHSEX,SKILL_READ,57.00025
2006,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,39.9497
2006,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,43.65372
2009,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,41.58381
2009,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,50.45033
2012,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,43.35334
2012,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,56.70178
2009,Denmark,LOWSEC,MALE,SKILL_MATH,85.34
2009,Denmark,LOWSEC,FEMALE,SKILL_READ,88.53
2009,Denmark,LOWSEC,FEMALE,SKILL_MATH,80.6
2009,Denmark,LOWSEC,BOTHSEX,SKILL_READ,84.78205
2011,Denmark,GRAD23,BOTHSEX,SKILL_MATH,81.85848
2011,Denmark,GRAD23,FEMALE,SKILL_MATH,81.15901
2011,Denmark,GRAD23,MALE,SKILL_MATH,82.5916
2015,Armenia,LOWSEC,BOTHSEX,SKILL_MATH,50.40721
2015,Armenia,LOWSEC,FEMALE,SKILL_MATH,51.80103
2019,Armenia,PRIMAR,MALE,SKILL_MATH,63.03454
2019,Armenia,PRIMAR,FEMALE,SKILL_MATH,65.75158
2019,Armenia,PRIMAR,BOTHSEX,SKILL_MATH,64.34171
2000,Belgium,LOWSEC,BOTHSEX,SKILL_READ,80.9
2000,Belgium,LOWSEC,MALE,SKILL_READ,77.23
2000,Belgium,LOWSEC,BOTHSEX,SKILL_MATH,80.32178
2011,Denmark,GRAD23,BOTHSEX,SKILL_READ,98.57322
2011,Denmark,GRAD23,FEMALE,SKILL_READ,98.80472
2011,Denmark,GRAD23,MALE,SKILL_READ,98.34226
2012,Denmark,LOWSEC,FEMALE,SKILL_READ,89.93
2012,Denmark,LOWSEC,MALE,SKILL_MATH,84.89
2012,Denmark,LOWSEC,MALE,SKILL_READ,80.83
2012,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,83.15936
2015,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,58.11399
2015,Montenegro,LOWSEC,FEMALE,SKILL_READ,65.5884
2015,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,48.10564
2015,Montenegro,LOWSEC,MALE,SKILL_READ,50.97577
2015,Montenegro,LOWSEC,FEMALE,SKILL_MATH,47.87792
2015,Montenegro,LOWSEC,MALE,SKILL_MATH,48.32335
2018,Montenegro,LOWSEC,MALE,SKILL_MATH,55.40638
2000,Belgium,LOWSEC,FEMALE,SKILL_READ,85.88
2000,Belgium,LOWSEC,MALE,SKILL_MATH,79.47
2000,Belgium,LOWSEC,FEMALE,SKILL_MATH,82.19
2003,Belgium,LOWSEC,FEMALE,SKILL_READ,87.04
2003,Belgium,LOWSEC,BOTHSEX,SKILL_MATH,83.50253
2003,Belgium,LOWSEC,MALE,SKILL_READ,77.62
2003,Belgium,LOWSEC,BOTHSEX,SKILL_READ,82.12721
2003,Belgium,LOWSEC,FEMALE,SKILL_MATH,84.27
2003,Belgium,LOWSEC,MALE,SKILL_MATH,82.8
2003,Belgium,PRIMAR,BOTHSEX,SKILL_MATH,90.01701
2006,Belgium,LOWSEC,FEMALE,SKILL_READ,86.62
2006,Belgium,LOWSEC,MALE,SKILL_MATH,82.33
2006,Belgium,LOWSEC,FEMALE,SKILL_MATH,83.01
2006,Belgium,LOWSEC,BOTHSEX,SKILL_READ,80.59795
2012,Denmark,LOWSEC,BOTHSEX,SKILL_READ,85.35578
2012,Denmark,LOWSEC,FEMALE,SKILL_MATH,81.42
2015,Denmark,LOWSEC,MALE,SKILL_MATH,87.0988
2015,Denmark,LOWSEC,FEMALE,SKILL_READ,87.96385
2015,Denmark,GRAD23,MALE,SKILL_MATH,81.44908
2015,Denmark,GRAD23,BOTHSEX,SKILL_MATH,80.31658
2015,Denmark,LOWSEC,FEMALE,SKILL_MATH,85.75095
2006,Belgium,LOWSEC,MALE,SKILL_READ,75.13
2006,Belgium,LOWSEC,BOTHSEX,SKILL_MATH,82.65611
2006,Belgium,PRIMAR,BOTHSEX,SKILL_READ,99.21684
2009,Belgium,LOWSEC,FEMALE,SKILL_MATH,78.63
2009,Belgium,LOWSEC,MALE,SKILL_MATH,83.17
2009,Belgium,LOWSEC,FEMALE,SKILL_READ,86.18
2009,Belgium,LOWSEC,BOTHSEX,SKILL_MATH,80.94882
2018,Montenegro,LOWSEC,FEMALE,SKILL_MATH,52.13279
2018,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,53.83931
2018,Montenegro,LOWSEC,MALE,SKILL_READ,48.31694
2018,Montenegro,LOWSEC,FEMALE,SKILL_READ,63.49065
2018,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,55.5806
2019,Montenegro,PRIMAR,MALE,SKILL_MATH,44.34892
2019,Montenegro,PRIMAR,FEMALE,SKILL_MATH,41.57225
2009,Belgium,LOWSEC,MALE,SKILL_READ,78.5
2009,Belgium,LOWSEC,BOTHSEX,SKILL_READ,82.2574
2011,Belgium,PRIMAR,BOTHSEX,SKILL_MATH,89.23522
2012,Belgium,LOWSEC,BOTHSEX,SKILL_READ,83.92354
2012,Belgium,LOWSEC,MALE,SKILL_READ,79.64
2012,Belgium,LOWSEC,BOTHSEX,SKILL_MATH,81.03681
2012,Belgium,LOWSEC,FEMALE,SKILL_READ,88.24
2015,Denmark,LOWSEC,BOTHSEX,SKILL_READ,85.00438
2015,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,86.42804
2015,Denmark,LOWSEC,MALE,SKILL_READ,82.07345
2015,Denmark,GRAD23,FEMALE,SKILL_MATH,79.15421
2016,Denmark,GRAD23,MALE,SKILL_READ,97.20507
2016,Denmark,GRAD23,FEMALE,SKILL_READ,97.58585
2016,Denmark,GRAD23,BOTHSEX,SKILL_READ,97.37895
2018,Denmark,LOWSEC,MALE,SKILL_MATH,85.12017
2012,Belgium,LOWSEC,MALE,SKILL_MATH,81.4
2012,Belgium,LOWSEC,FEMALE,SKILL_MATH,80.67
2015,Belgium,LOWSEC,FEMALE,SKILL_READ,83.03041
2015,Belgium,LOWSEC,BOTHSEX,SKILL_MATH,79.93734
2015,Belgium,LOWSEC,MALE,SKILL_READ,77.98094
2015,Belgium,LOWSEC,BOTHSEX,SKILL_READ,80.46547
2015,Belgium,LOWSEC,FEMALE,SKILL_MATH,78.78193
2001,Türkiye,PRIMAR,BOTHSEX,SKILL_READ,72.3131
2001,Türkiye,PRIMAR,FEMALE,SKILL_READ,76.5403
2001,Türkiye,PRIMAR,MALE,SKILL_READ,68.24938
2003,Türkiye,LOWSEC,FEMALE,SKILL_READ,72.15
2003,Türkiye,LOWSEC,MALE,SKILL_READ,55.89
2003,Türkiye,LOWSEC,BOTHSEX,SKILL_READ,63.20619
2006,Türkiye,LOWSEC,BOTHSEX,SKILL_READ,67.82651
2019,Montenegro,PRIMAR,BOTHSEX,SKILL_MATH,42.99141
2000,Netherlands,LOWSEC,FEMALE,SKILL_MATH,93.57
2000,Netherlands,LOWSEC,FEMALE,SKILL_READ,94.17
2000,Netherlands,LOWSEC,BOTHSEX,SKILL_READ,90.47414
2000,Netherlands,LOWSEC,MALE,SKILL_READ,86.84
2000,Netherlands,LOWSEC,BOTHSEX,SKILL_MATH,93.77527
2000,Netherlands,LOWSEC,MALE,SKILL_MATH,93.89
2015,Belgium,LOWSEC,MALE,SKILL_MATH,81.05653
2015,Belgium,PRIMAR,BOTHSEX,SKILL_MATH,87.87937
2016,Belgium,PRIMAR,BOTHSEX,SKILL_READ,97.41729
2018,Belgium,LOWSEC,FEMALE,SKILL_READ,82.18898
2018,Belgium,LOWSEC,MALE,SKILL_MATH,81.69979
2018,Belgium,LOWSEC,FEMALE,SKILL_MATH,78.98485
2018,Belgium,LOWSEC,MALE,SKILL_READ,75.28248
2018,Belgium,LOWSEC,BOTHSEX,SKILL_MATH,80.33807
2018,Belgium,LOWSEC,BOTHSEX,SKILL_READ,78.74654
2019,Belgium,PRIMAR,FEMALE,SKILL_MATH,78.03478
2019,Belgium,PRIMAR,MALE,SKILL_MATH,82.35777
2019,Belgium,PRIMAR,BOTHSEX,SKILL_MATH,80.14717
2018,Bosnia and Herzegovina,LOWSEC,MALE,SKILL_READ,38.28907
2018,Bosnia and Herzegovina,LOWSEC,FEMALE,SKILL_READ,54.76662
2001,Netherlands,PRIMAR,FEMALE,SKILL_READ,99.56111
2001,Netherlands,PRIMAR,MALE,SKILL_READ,98.88949
2001,Netherlands,PRIMAR,BOTHSEX,SKILL_READ,99.2274
2003,Netherlands,LOWSEC,MALE,SKILL_READ,85.73
2003,Netherlands,PRIMAR,BOTHSEX,SKILL_MATH,88.71705
2003,Netherlands,LOWSEC,BOTHSEX,SKILL_READ,88.5208
2003,Netherlands,LOWSEC,FEMALE,SKILL_READ,91.43
2003,Netherlands,LOWSEC,MALE,SKILL_MATH,89.83
2003,Netherlands,LOWSEC,FEMALE,SKILL_MATH,88.33
2003,Netherlands,LOWSEC,BOTHSEX,SKILL_MATH,89.09377
2003,Netherlands,PRIMAR,MALE,SKILL_MATH,89.84334
2003,Netherlands,PRIMAR,FEMALE,SKILL_MATH,87.54818
2006,Netherlands,LOWSEC,FEMALE,SKILL_READ,88.32
2006,Netherlands,LOWSEC,BOTHSEX,SKILL_READ,84.88453
2006,Netherlands,LOWSEC,MALE,SKILL_READ,81.57
2006,Netherlands,LOWSEC,MALE,SKILL_MATH,89.99
2006,Netherlands,LOWSEC,BOTHSEX,SKILL_MATH,88.47191
2006,Netherlands,PRIMAR,FEMALE,SKILL_READ,99.5927
2006,Netherlands,PRIMAR,MALE,SKILL_READ,99.27775
2006,Netherlands,PRIMAR,BOTHSEX,SKILL_READ,99.44051
2006,Netherlands,LOWSEC,FEMALE,SKILL_MATH,86.89
2006,Türkiye,LOWSEC,MALE,SKILL_READ,58.99
2006,Türkiye,LOWSEC,FEMALE,SKILL_READ,78.49
2007,Türkiye,LOWSEC,FEMALE,SKILL_MATH,33.14527
2007,Türkiye,LOWSEC,BOTHSEX,SKILL_MATH,32.86918
2007,Türkiye,LOWSEC,MALE,SKILL_MATH,32.67366
2009,Türkiye,LOWSEC,BOTHSEX,SKILL_READ,75.49418
2009,Türkiye,LOWSEC,FEMALE,SKILL_READ,85.02
2018,Bosnia and Herzegovina,LOWSEC,BOTHSEX,SKILL_READ,46.32493
2018,Bosnia and Herzegovina,LOWSEC,BOTHSEX,SKILL_MATH,42.43659
2019,Bosnia and Herzegovina,PRIMAR,BOTHSEX,SKILL_MATH,39.55167
2019,Bosnia and Herzegovina,PRIMAR,MALE,SKILL_MATH,42.56869
2019,Bosnia and Herzegovina,PRIMAR,FEMALE,SKILL_MATH,36.46904
2000,Bulgaria,LOWSEC,MALE,SKILL_READ,49.71
2000,Bulgaria,LOWSEC,BOTHSEX,SKILL_MATH,54.59159
2007,Netherlands,PRIMAR,MALE,SKILL_MATH,85.66002
2007,Netherlands,PRIMAR,FEMALE,SKILL_MATH,81.57077
2007,Netherlands,PRIMAR,BOTHSEX,SKILL_MATH,83.7802
2009,Netherlands,LOWSEC,FEMALE,SKILL_READ,89.24
2009,Netherlands,LOWSEC,BOTHSEX,SKILL_MATH,86.58382
2009,Netherlands,LOWSEC,BOTHSEX,SKILL_READ,85.68504
2009,Netherlands,LOWSEC,MALE,SKILL_READ,82.09
2009,Netherlands,LOWSEC,MALE,SKILL_MATH,88.77
2009,Netherlands,LOWSEC,FEMALE,SKILL_MATH,84.43
2011,Netherlands,PRIMAR,MALE,SKILL_READ,99.46544
2011,Netherlands,PRIMAR,FEMALE,SKILL_READ,99.68333
2011,Netherlands,PRIMAR,BOTHSEX,SKILL_MATH,88.4268
2011,Netherlands,PRIMAR,FEMALE,SKILL_MATH,87.24342
2011,Netherlands,PRIMAR,BOTHSEX,SKILL_READ,99.55017
2011,Netherlands,PRIMAR,MALE,SKILL_MATH,89.85986
2018,Denmark,LOWSEC,MALE,SKILL_READ,79.09293
2018,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,85.42881
2018,Denmark,LOWSEC,BOTHSEX,SKILL_READ,84.00047
2018,Denmark,LOWSEC,FEMALE,SKILL_MATH,85.738
2018,Denmark,LOWSEC,FEMALE,SKILL_READ,88.91687
2019,Denmark,GRAD23,BOTHSEX,SKILL_MATH,74.73042
2019,Denmark,GRAD23,MALE,SKILL_MATH,75.54785
2000,Bulgaria,LOWSEC,BOTHSEX,SKILL_READ,59.7
2000,Bulgaria,LOWSEC,MALE,SKILL_MATH,53.41
2000,Bulgaria,LOWSEC,FEMALE,SKILL_READ,70.22
2000,Bulgaria,LOWSEC,FEMALE,SKILL_MATH,55.85
2001,Bulgaria,PRIMAR,MALE,SKILL_READ,93.42708
2001,Bulgaria,PRIMAR,BOTHSEX,SKILL_READ,95.0493
2001,Bulgaria,PRIMAR,FEMALE,SKILL_READ,96.783
2012,Netherlands,LOWSEC,MALE,SKILL_MATH,86.15
2012,Netherlands,LOWSEC,FEMALE,SKILL_MATH,84.22
2012,Netherlands,LOWSEC,BOTHSEX,SKILL_MATH,85.20645
2012,Netherlands,LOWSEC,FEMALE,SKILL_READ,89.39
2012,Netherlands,LOWSEC,BOTHSEX,SKILL_READ,86.01116
2012,Netherlands,LOWSEC,MALE,SKILL_READ,82.78
2015,Netherlands,LOWSEC,FEMALE,SKILL_MATH,83.75581
2006,Bulgaria,PRIMAR,BOTHSEX,SKILL_READ,94.76472
2006,Bulgaria,LOWSEC,BOTHSEX,SKILL_MATH,46.72246
2006,Bulgaria,LOWSEC,MALE,SKILL_READ,39.02
2006,Bulgaria,LOWSEC,MALE,SKILL_MATH,45.1
2006,Bulgaria,PRIMAR,MALE,SKILL_READ,93.22733
2006,Bulgaria,PRIMAR,FEMALE,SKILL_READ,96.35489
2006,Bulgaria,LOWSEC,BOTHSEX,SKILL_READ,48.92784
2019,Denmark,GRAD23,FEMALE,SKILL_MATH,74.40961
2006,Estonia,LOWSEC,BOTHSEX,SKILL_READ,86.35941
2006,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,87.92124
2009,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,87.3623
2009,Estonia,LOWSEC,BOTHSEX,SKILL_READ,86.66734
2012,Estonia,LOWSEC,BOTHSEX,SKILL_READ,90.87593
2012,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,89.45552
2015,Netherlands,LOWSEC,MALE,SKILL_MATH,82.77701
2015,Netherlands,PRIMAR,MALE,SKILL_MATH,84.36688
2015,Netherlands,PRIMAR,FEMALE,SKILL_MATH,81.57301
2015,Netherlands,LOWSEC,MALE,SKILL_READ,78.34129
2015,Netherlands,PRIMAR,BOTHSEX,SKILL_MATH,82.9822
2015,Netherlands,LOWSEC,BOTHSEX,SKILL_READ,81.93602
2015,Netherlands,LOWSEC,FEMALE,SKILL_READ,85.50705
2006,Bulgaria,LOWSEC,FEMALE,SKILL_MATH,48.46
2006,Bulgaria,LOWSEC,FEMALE,SKILL_READ,59.57
2009,Bulgaria,LOWSEC,MALE,SKILL_MATH,51.81
2009,Bulgaria,LOWSEC,FEMALE,SKILL_READ,70.85
2009,Bulgaria,LOWSEC,FEMALE,SKILL_MATH,54.03
2009,Bulgaria,LOWSEC,BOTHSEX,SKILL_READ,59.01265
2009,Bulgaria,LOWSEC,MALE,SKILL_READ,48.03
2015,Netherlands,LOWSEC,BOTHSEX,SKILL_MATH,83.26803
2016,Netherlands,PRIMAR,BOTHSEX,SKILL_READ,98.69016
2016,Netherlands,PRIMAR,FEMALE,SKILL_READ,99.40024
2016,Netherlands,PRIMAR,MALE,SKILL_READ,97.99961
2018,Netherlands,LOWSEC,BOTHSEX,SKILL_MATH,84.24937
2018,Netherlands,LOWSEC,BOTHSEX,SKILL_READ,75.91339
2018,Netherlands,LOWSEC,FEMALE,SKILL_MATH,84.90501
2015,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,88.78235
2015,Estonia,LOWSEC,MALE,SKILL_READ,85.77631
2015,Estonia,LOWSEC,MALE,SKILL_MATH,87.94977
2015,Estonia,LOWSEC,BOTHSEX,SKILL_READ,89.36135
2015,Estonia,LOWSEC,FEMALE,SKILL_MATH,89.64921
2015,Estonia,LOWSEC,FEMALE,SKILL_READ,93.09679
2018,Estonia,LOWSEC,FEMALE,SKILL_MATH,89.69022
2009,Bulgaria,LOWSEC,BOTHSEX,SKILL_MATH,52.87923
2011,Bulgaria,PRIMAR,MALE,SKILL_READ,92.02394
2011,Bulgaria,PRIMAR,BOTHSEX,SKILL_READ,93.04844
2011,Bulgaria,PRIMAR,FEMALE,SKILL_READ,94.5235
2012,Bulgaria,LOWSEC,BOTHSEX,SKILL_READ,60.60917
2012,Bulgaria,LOWSEC,BOTHSEX,SKILL_MATH,56.24342
2012,Bulgaria,LOWSEC,MALE,SKILL_READ,49.07
2012,Bulgaria,LOWSEC,FEMALE,SKILL_MATH,57.73
2012,Bulgaria,LOWSEC,FEMALE,SKILL_READ,72.99
2012,Bulgaria,LOWSEC,MALE,SKILL_MATH,54.86
2015,Bulgaria,LOWSEC,FEMALE,SKILL_MATH,59.38805
2015,Bulgaria,PRIMAR,FEMALE,SKILL_MATH,76.25733
2015,Bulgaria,LOWSEC,MALE,SKILL_READ,50.36671
2015,Bulgaria,LOWSEC,BOTHSEX,SKILL_MATH,57.92654
2018,Netherlands,LOWSEC,MALE,SKILL_READ,70.63255
2018,Netherlands,LOWSEC,MALE,SKILL_MATH,83.59709
2018,Netherlands,LOWSEC,FEMALE,SKILL_READ,81.22141
2019,Netherlands,PRIMAR,MALE,SKILL_MATH,85.28467
2019,Netherlands,PRIMAR,FEMALE,SKILL_MATH,83.08361
2019,Netherlands,PRIMAR,BOTHSEX,SKILL_MATH,84.10748
2000,Norway,LOWSEC,FEMALE,SKILL_READ,89.56
2018,Estonia,LOWSEC,BOTHSEX,SKILL_READ,88.94572
2018,Estonia,LOWSEC,MALE,SKILL_MATH,89.87686
2018,Estonia,LOWSEC,MALE,SKILL_READ,85.53826
2018,Estonia,LOWSEC,FEMALE,SKILL_READ,92.3565
2018,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,89.78358
2000,Finland,LOWSEC,BOTHSEX,SKILL_MATH,92.0814
2000,Finland,LOWSEC,MALE,SKILL_READ,89.03
2015,Bulgaria,PRIMAR,MALE,SKILL_MATH,74.01882
2015,Bulgaria,LOWSEC,FEMALE,SKILL_READ,67.65246
2015,Bulgaria,LOWSEC,MALE,SKILL_MATH,56.61854
2015,Bulgaria,LOWSEC,BOTHSEX,SKILL_READ,58.53054
2015,Bulgaria,PRIMAR,BOTHSEX,SKILL_MATH,75.11706
2016,Bulgaria,PRIMAR,MALE,SKILL_READ,94.00213
2016,Bulgaria,PRIMAR,FEMALE,SKILL_READ,95.58441
2000,Finland,LOWSEC,MALE,SKILL_MATH,91.74
2000,Finland,LOWSEC,BOTHSEX,SKILL_READ,93.1
2000,Finland,LOWSEC,FEMALE,SKILL_MATH,92.4
2000,Finland,LOWSEC,FEMALE,SKILL_READ,96.84
2003,Finland,LOWSEC,BOTHSEX,SKILL_READ,94.29719
2003,Finland,LOWSEC,MALE,SKILL_MATH,92.69
2003,Finland,LOWSEC,MALE,SKILL_READ,90.98
2016,Bulgaria,PRIMAR,BOTHSEX,SKILL_READ,94.78671
2018,Bulgaria,LOWSEC,BOTHSEX,SKILL_MATH,55.58716
2018,Bulgaria,LOWSEC,MALE,SKILL_READ,44.92272
2018,Bulgaria,LOWSEC,BOTHSEX,SKILL_READ,52.8972
2018,Bulgaria,LOWSEC,FEMALE,SKILL_MATH,56.42893
2018,Bulgaria,LOWSEC,FEMALE,SKILL_READ,61.92015
2018,Bulgaria,LOWSEC,MALE,SKILL_MATH,54.8432
2019,Bulgaria,PRIMAR,MALE,SKILL_MATH,71.10987
2019,Bulgaria,PRIMAR,FEMALE,SKILL_MATH,70.57986
2019,Bulgaria,PRIMAR,BOTHSEX,SKILL_MATH,70.858
2018,Belarus,LOWSEC,BOTHSEX,SKILL_READ,76.58973
2018,Belarus,LOWSEC,FEMALE,SKILL_MATH,70.2907
2018,Belarus,LOWSEC,MALE,SKILL_MATH,70.95741
2018,Belarus,LOWSEC,FEMALE,SKILL_READ,82.04097
2003,Finland,LOWSEC,BOTHSEX,SKILL_MATH,93.24083
2003,Finland,LOWSEC,FEMALE,SKILL_READ,97.6
2003,Finland,LOWSEC,FEMALE,SKILL_MATH,93.79
2006,Finland,LOWSEC,FEMALE,SKILL_READ,98.45
2006,Finland,LOWSEC,BOTHSEX,SKILL_MATH,94.04777
2006,Finland,LOWSEC,MALE,SKILL_READ,91.88
2006,Finland,LOWSEC,MALE,SKILL_MATH,94.04
2000,Norway,LOWSEC,MALE,SKILL_READ,76.84
2000,Norway,LOWSEC,MALE,SKILL_MATH,81.71
2000,Norway,LOWSEC,FEMALE,SKILL_MATH,80.93
2000,Norway,LOWSEC,BOTHSEX,SKILL_MATH,80.85547
2000,Norway,LOWSEC,BOTHSEX,SKILL_READ,82.5
2001,Norway,GRAD23,FEMALE,SKILL_READ,91.18418
2001,Norway,GRAD23,BOTHSEX,SKILL_READ,88.20851
2001,Norway,GRAD23,MALE,SKILL_READ,85.63096
2003,Norway,PRIMAR,MALE,SKILL_MATH,43.41319
2003,Norway,LOWSEC,FEMALE,SKILL_MATH,78.92
2003,Norway,LOWSEC,FEMALE,SKILL_READ,88.69
2003,Norway,GRAD23,BOTHSEX,SKILL_MATH,40.62813
2003,Norway,LOWSEC,BOTHSEX,SKILL_READ,81.87787
2003,Norway,LOWSEC,BOTHSEX,SKILL_MATH,79.15894
2006,Finland,LOWSEC,FEMALE,SKILL_MATH,94.06
2006,Finland,LOWSEC,BOTHSEX,SKILL_READ,95.18986
2009,Finland,LOWSEC,FEMALE,SKILL_READ,96.8
2009,Finland,LOWSEC,BOTHSEX,SKILL_READ,91.89128
2009,Finland,LOWSEC,FEMALE,SKILL_MATH,92.47
2009,Finland,LOWSEC,MALE,SKILL_MATH,91.84
2009,Finland,LOWSEC,MALE,SKILL_READ,87.0
2018,Belarus,LOWSEC,BOTHSEX,SKILL_MATH,70.63742
2018,Belarus,LOWSEC,MALE,SKILL_READ,71.55866
2006,Croatia,LOWSEC,FEMALE,SKILL_READ,87.4
2006,Croatia,LOWSEC,BOTHSEX,SKILL_MATH,71.41934
2006,Croatia,LOWSEC,MALE,SKILL_READ,69.5
2006,Croatia,LOWSEC,MALE,SKILL_MATH,73.26
2006,Croatia,LOWSEC,BOTHSEX,SKILL_READ,78.45754
2009,Finland,LOWSEC,BOTHSEX,SKILL_MATH,92.15396
2011,Finland,PRIMAR,BOTHSEX,SKILL_READ,99.20121
2011,Finland,PRIMAR,FEMALE,SKILL_READ,99.49656
2011,Finland,PRIMAR,BOTHSEX,SKILL_MATH,84.66516
2011,Finland,PRIMAR,MALE,SKILL_MATH,84.99955
2011,Finland,PRIMAR,FEMALE,SKILL_MATH,84.31278
2011,Finland,PRIMAR,MALE,SKILL_READ,98.91159
2012,Finland,LOWSEC,MALE,SKILL_READ,82.26
2003,Norway,PRIMAR,FEMALE,SKILL_MATH,44.76164
2003,Norway,GRAD23,FEMALE,SKILL_MATH,38.70377
2003,Norway,GRAD23,MALE,SKILL_MATH,42.54083
2003,Norway,LOWSEC,MALE,SKILL_READ,75.17
2003,Norway,LOWSEC,MALE,SKILL_MATH,79.39
2003,Norway,PRIMAR,BOTHSEX,SKILL_MATH,43.99862
2006,Norway,LOWSEC,MALE,SKILL_READ,70.56
2006,Croatia,LOWSEC,FEMALE,SKILL_MATH,69.58
2009,Croatia,LOWSEC,MALE,SKILL_READ,68.78
2009,Croatia,LOWSEC,BOTHSEX,SKILL_MATH,66.84657
2009,Croatia,LOWSEC,FEMALE,SKILL_READ,87.47
2009,Croatia,LOWSEC,FEMALE,SKILL_MATH,65.36
2009,Croatia,LOWSEC,BOTHSEX,SKILL_READ,77.56462
2009,Croatia,LOWSEC,MALE,SKILL_MATH,68.16
2012,Finland,LOWSEC,FEMALE,SKILL_MATH,89.61
2012,Finland,LOWSEC,BOTHSEX,SKILL_READ,88.65054
2012,Finland,LOWSEC,FEMALE,SKILL_READ,95.4
2012,Finland,LOWSEC,MALE,SKILL_MATH,85.95
2012,Finland,LOWSEC,BOTHSEX,SKILL_MATH,87.73212
2015,Finland,LOWSEC,MALE,SKILL_READ,83.89269
2015,Finland,LOWSEC,BOTHSEX,SKILL_MATH,86.43602
2015,Finland,LOWSEC,MALE,SKILL_MATH,84.26792
2015,Finland,PRIMAR,MALE,SKILL_MATH,79.42611
2015,Finland,PRIMAR,FEMALE,SKILL_MATH,85.18339
2015,Finland,PRIMAR,BOTHSEX,SKILL_MATH,82.19813
2015,Finland,LOWSEC,FEMALE,SKILL_READ,94.28991
2015,Finland,LOWSEC,BOTHSEX,SKILL_READ,88.90851
2015,Finland,LOWSEC,FEMALE,SKILL_MATH,88.76214
2009,Türkiye,LOWSEC,MALE,SKILL_READ,66.56
2011,Türkiye,LOWSEC,BOTHSEX,SKILL_MATH,40.399
2011,Türkiye,PRIMAR,BOTHSEX,SKILL_MATH,51.02146
2011,Türkiye,LOWSEC,FEMALE,SKILL_MATH,41.54577
2011,Türkiye,PRIMAR,FEMALE,SKILL_MATH,50.77845
